1,-4753916,7,219215
1,-4753934,6,180995
1,-4753952,9,56915
1,-4753970,2,726327
1,-4753988,3,341036
1,-4754006,5,847543
1,-4754024,4,099018
1,-4754042,2,006574
1,-4754060,6,286203
1,-4754078,8,961506
1,-4754096,5,841651
1,-4754114,4,637376
1,-4754132,3,432691
1,-4754150,2,155259
1,-4754168,9,218899
1,-4754186,8,937466
1,-4754204,4,529258
1,-4754222,5,500629
1,-4754240,9,414304
1,-4754258,5,885763
1,-4754276,4,063042
1,-4754294,9,776073
1,-4754312,5,006233
1,-4754330,4,188867
1,-4754348,9,82921
1,-4754366,3,896924
1,-4754384,4,292367
1,-4754402,6,596456
1,-4754420,3,214102
1,-4754438,3,916387
1,-4754456,9,119819
1,-4754474,6,741204
1,-4754492,2,696944
1,-4754510,8,538062
1,-4754528,5,493425
1,-4754546,9,461591
1,-4754564,2,273229
1,-4754582,5,034729
1,-4754600,8,81353
1,-4754618,5,282437
1,-4754636,6,986701
1,-4754654,8,191702
1,-4754672,9,61016
1,-4754690,6,260441
1,-4754708,4,367576
1,-4754726,9,700127
1,-4754744,6,28229
1,-4754762,8,751179
1,-4754780,8,264492
1,-4754798,4,584826
1,-4754816,6,072427
1,-4754834,5,588927
1,-4754852,6,73001
1,-4754870,9,297416
1,-4754888,8,224944
1,-4754906,5,819948
1,-4754924,6,593847
1,-4754942,9,11683
1,-4754960,2,626552
1,-4754978,5,629785
1,-4754996,5,688223
1,-4755014,7,143611
1,-4755032,7,688657
1,-4755050,3,279259
1,-4755068,6,284263
1,-4755086,9,515466
1,-4755104,3,607278
1,-4755122,3,317234
1,-4755140,8,971341
1,-4755158,7,183233
1,-4755176,4,590057
1,-4755194,4,960947
1,-4755212,4,590128
1,-4755230,6,587853
1,-4755248,8,013282
1,-4755266,7,619834
1,-4755284,6,365547
1,-4755302,4,20098
1,-4755320,9,345498
1,-4755338,4,537154
1,-4755356,2,351208
1,-4755374,8,229325
1,-4755392,8,002109
1,-4755410,4,563067
1,-4755428,4,056907
1,-4755446,9,738593
1,-4755464,3,240557
1,-4755482,5,762311
1,-4755500,7,845781
1,-4755518,4,664681
1,-4755536,2,04701
1,-4755554,5,242397
1,-4755572,6,660891
